Rnd,Pick,Pos
1,1,T
1,2,T
1,3,DE
1,4,T
1,5,DE
1,6,LB
1,7,G
1,8,WR
1,9,DB
1,10,G
1,11,T
1,12,DB
1,13,DT
1,14,DT
1,15,DB
1,16,QB
1,17,LB
1,18,DB
1,19,T
1,20,G
1,21,TE
1,22,DB
1,23,DT
1,24,DE
1,25,DB
1,26,DE
1,27,WR
1,28,DT
1,29,WR
1,30,LB
1,31,C
1,32,DB
1,1,QB
1,2,QB
1,3,RB
1,4,T
1,5,WR
1,6,DB
1,7,DB
1,8,QB
1,9,LB
1,10,DB
1,11,DT
1,12,DT
1,13,WR
1,14,DT
1,15,DE
1,16,DE
1,17,DB
1,18,DE
1,19,DE
1,20,WR
1,21,DE
1,22,QB
1,23,T
1,24,G
1,25,LB
1,26,DE
1,27,G
1,28,DE
1,29,DB
1,30,WR
1,31,RB
1,32,RB
1,1,QB
1,2,LB
1,3,DT
1,4,WR
1,5,DB
1,6,WR
1,7,DE
1,8,QB
1,9,T
1,10,QB
1,11,DE
1,12,QB
1,13,DT
1,14,DE
1,15,G
1,16,DE
1,17,T
1,18,DT
1,19,DB
1,20,DE
1,21,DT
1,22,T
1,23,G
1,24,DE
1,25,T
1,26,WR
1,27,DB
1,28,RB
1,29,T
1,30,DT
1,31,DE
1,32,T
1,1,QB
1,2,DT
1,3,DT
1,4,T
1,5,DB
1,6,T
1,7,DB
1,8,LB
1,9,RB
1,10,DT
1,11,T
1,12,RB
1,13,DE
1,14,DB
1,15,DE
1,16,DE
1,17,G
1,18,C
1,19,LB
1,20,DB
1,21,TE
1,22,WR
1,23,T
1,24,WR
1,25,QB
1,26,DT
1,27,DB
1,28,DE
1,29,DB
1,30,RB
1,31,DE
1,32,DB
1,1,QB
1,2,T
1,3,DE
1,4,LB
1,5,QB
1,6,T
1,7,WR
1,8,T
1,9,DT
1,10,WR
1,11,DE
1,12,RB
1,13,LB
1,14,DB
1,15,LB
1,16,LB
1,17,QB
1,18,DE
1,19,WR
1,20,TE
1,21,C
1,22,WR
1,23,T
1,24,DT
1,25,DB
1,26,LB
1,27,RB
1,28,C
1,29,WR
1,30,WR
1,31,RB
1,32,DE
1,1,T
1,2,DE
1,3,QB
1,4,RB
1,5,DT
1,6,DE
1,7,DT
1,8,DE
1,9,LB
1,10,LB
1,11,DB
1,12,T
1,13,RB
1,14,T
1,15,G
1,16,DB
1,17,T
1,18,QB
1,19,T
1,20,DB
1,21,T
1,22,RB
1,23,RB
1,24,RB
1,25,DB
1,26,T
1,27,DB
1,28,DE
1,29,DT
1,30,TE
1,31,DB
1,1,QB
1,2,WR
1,3,T
1,4,DE
1,5,T
1,6,DB
1,7,RB
1,8,DE
1,9,WR
1,10,DT
1,11,LB
1,12,RB
1,13,DE
1,14,DB
1,15,LB
1,16,DT
1,17,DE
1,18,DB
1,19,DB
1,20,DB
1,21,DB
1,22,QB
1,23,WR
1,24,DB
1,25,LB
1,26,DE
1,27,WR
1,28,T
1,29,G
1,30,WR
1,31,TE
1,32,WR
1,1,DE
1,2,RB
1,3,QB
1,4,T
1,5,LB
1,6,TE
1,7,DB
1,8,DB
1,9,LB
1,10,QB
1,11,QB
1,12,DT
1,13,DE
1,14,DT
1,15,DB
1,16,DB
1,17,LB
1,18,LB
1,19,DB
1,20,DE
1,21,RB
1,22,DE
1,23,G
1,24,DB
1,25,WR
1,26,DT
1,27,RB
1,28,TE
1,29,C
1,30,RB
1,31,DB
1,32,DE
1,1,QB
1,2,RB
1,3,WR
1,4,RB
1,5,RB
1,6,DB
1,7,WR
1,8,DB
1,9,DB
1,10,WR
1,11,LB
1,12,LB
1,13,T
1,14,LB
1,15,LB
1,16,DT
1,17,LB
1,18,DE
1,19,T
1,20,DE
1,21,WR
1,22,WR
1,23,DB
1,24,QB
1,25,QB
1,26,C
1,27,WR
1,28,DE
1,29,DB
1,30,TE
1,31,DT
1,32,G
1,1,QB
1,2,T
1,3,WR
1,4,QB
1,5,DB
1,6,TE
1,7,WR
1,8,DB
1,9,WR
1,10,DB
1,11,QB
1,12,LB
1,13,WR
1,14,DT
1,15,WR
1,16,G
1,17,LB
1,18,DE
1,19,T
1,20,DE
1,21,NT
1,22,QB
1,23,DT
1,24,RB
1,25,DB
1,26,RB
1,27,LB
1,28,DB
1,29,WR
1,30,RB
1,31,WR
1,32,TE
1,1,QB
1,2,WR
1,3,WR
1,4,DT
1,5,DB
1,6,DT
1,7,QB
1,8,T
1,9,DT
1,10,LB
1,11,DB
1,12,DT
1,13,DE
1,14,DE
1,15,DE
1,16,DB
1,17,WR
1,18,DE
1,19,QB
1,20,T
1,21,C
1,22,QB
1,23,RB
1,24,TE
1,25,DT
1,26,T
1,27,RB
1,28,DB
1,29,LB
1,30,DB
1,31,DB
1,32,DE
1,1,QB
1,2,DE
1,3,QB
1,4,T
1,5,DB
1,6,DT
1,7,T
1,8,DB
1,9,DT
1,10,T
1,11,DE
1,12,DT
1,13,WR
1,14,TE
1,15,DT
1,16,RB
1,17,DB
1,18,RB
1,19,WR
1,20,WR
1,21,TE
1,22,DE
1,23,LB
1,24,DB
1,25,DE
1,26,DB
1,27,DB
1,28,TE
1,29,T
1,30,G
1,31,LB
1,32,QB
