Year,Rnd,Pick,Tm,Position Standard,
2013,1,1,KAN,T,
2013,1,2,JAX,T,
2013,1,3,MIA,DE,
2013,1,4,PHI,T,
2013,1,5,DET,DE,
2013,1,6,CLE,LB,
2013,1,7,ARI,G,
2013,1,8,STL,WR,
2013,1,9,NYJ,DB,
2013,1,10,TEN,G,
2013,1,11,SDG,T,
2013,1,12,OAK,DB,
2013,1,13,NYJ,DT,
2013,1,14,CAR,DT,
2013,1,15,NOR,DB,
2013,1,16,BUF,QB,
2013,1,17,PIT,LB,
2013,1,18,SFO,DB,
2013,1,19,NYG,T,
2013,1,20,CHI,G,
2013,1,21,CIN,TE,
2013,1,22,ATL,DB,
2013,1,23,MIN,DT,
2013,1,24,IND,DE,
2013,1,25,MIN,DB,
2013,1,26,GNB,DE,
2013,1,27,HOU,WR,
2013,1,28,DEN,DT,
2013,1,29,MIN,WR,
2013,1,30,STL,LB,
2013,1,31,DAL,C,
2013,1,32,BAL,DB,
2012,1,1,IND,QB,
2012,1,2,WAS,QB,
2012,1,3,CLE,RB,
2012,1,4,MIN,T,
2012,1,5,JAX,WR,
2012,1,6,DAL,DB,
2012,1,7,TAM,DB,
2012,1,8,MIA,QB,
2012,1,9,CAR,LB,
2012,1,10,BUF,DB,
2012,1,11,KAN,DT,
2012,1,12,PHI,DT,
2012,1,13,ARI,WR,
2012,1,14,STL,DT,
2012,1,15,SEA,DE,
2012,1,16,NYJ,DE,
2012,1,17,CIN,DB,
2012,1,18,SDG,DE,
2012,1,19,CHI,DE,
2012,1,20,TEN,WR,
2012,1,21,NWE,DE,
2012,1,22,CLE,QB,
2012,1,23,DET,T,
2012,1,24,PIT,G,
2012,1,25,NWE,LB,
2012,1,26,HOU,DE,
2012,1,27,CIN,G,
2012,1,28,GNB,DE,
2012,1,29,MIN,DB,
2012,1,30,SFO,WR,
2012,1,31,TAM,RB,
2012,1,32,NYG,RB,
2011,1,1,CAR,QB,
2011,1,2,DEN,LB,
2011,1,3,BUF,DT,
2011,1,4,CIN,WR,
2011,1,5,ARI,DB,
2011,1,6,ATL,WR,
2011,1,7,SFO,DE,
2011,1,8,TEN,QB,
2011,1,9,DAL,T,
2011,1,10,JAX,QB,
2011,1,11,HOU,DE,
2011,1,12,MIN,QB,
2011,1,13,DET,DT,
2011,1,14,STL,DE,
2011,1,15,MIA,G,
2011,1,16,WAS,DE,
2011,1,17,NWE,T,
2011,1,18,SDG,DT,
2011,1,19,NYG,DB,
2011,1,20,TAM,DE,
2011,1,21,CLE,DT,
2011,1,22,IND,T,
2011,1,23,PHI,G,
2011,1,24,NOR,DE,
2011,1,25,SEA,T,
2011,1,26,KAN,WR,
2011,1,27,BAL,DB,
2011,1,28,NOR,RB,
2011,1,29,CHI,T,
2011,1,30,NYJ,DT,
2011,1,31,PIT,DE,
2011,1,32,GNB,T,
