team,year,Active Players  (76),Pos.,Base Salary,Signing Bonus,Roster Bonus,Option Bonus,Workout Bonus,Restruc. Bonus,Misc.,Dead Cap,Cap Hit,Cap %
pittsburgh-steelers,2011,"Roethlisberger
Ben Roethlisberger ",QB,"$6,000,000","$4,200,000",-,-,-,"$1,120,000",-,-,"$11,320,000 ",8.74
pittsburgh-steelers,2011,"Polamalu
Troy Polamalu ",DB,"$3,450,000","$4,832,500",-,-,-,-,-,-,"$8,282,500 ",6.39
pittsburgh-steelers,2011,"Woodley
LaMarr Woodley ",LB,"$1,100,000","$2,600,000","$4,000,000",-,-,-,-,-,"$7,700,000 ",5.94
pittsburgh-steelers,2011,"Hampton
Casey Hampton ",DT,"$3,910,000","$2,166,667",-,-,-,-,-,-,"$7,076,667 ",5.46
pittsburgh-steelers,2011,"Smith
Aaron Smith ",DE,"$4,500,000","$1,600,000",-,-,-,-,-,-,"$6,100,000 ",4.71
pittsburgh-steelers,2011,"Pouncey
Maurkice Pouncey ",C,"$450,000",-,"$3,623,000","$1,400,625",-,-,-,-,"$5,473,625 ",4.22
pittsburgh-steelers,2011,"Timmons
Lawrence Timmons ",LB,"$1,000,000","$2,000,000","$1,000,000","$1,378,750",-,-,-,-,"$5,378,750 ",4.15
pittsburgh-steelers,2011,"Harrison
James Harrison ",LB,"$1,176,470","$2,000,000","$712,500","$800,000",-,"$602,500",-,-,"$5,291,470 ",4.08
pittsburgh-steelers,2011,"Taylor
Ike Taylor ",DB,"$1,250,000","$1,812,500","$750,000",-,-,-,-,-,"$3,812,500 ",2.94
pittsburgh-steelers,2011,"Miller
Heath Miller ",TE,"$1,000,000","$850,000",-,"$1,350,000",-,"$596,500",-,-,"$3,796,500 ",2.93
pittsburgh-steelers,2011,"Kemoeatu
Chris Kemoeatu ",G,"$2,937,000","$777,000",-,-,-,-,-,-,"$3,714,000 ",2.87
pittsburgh-steelers,2011,"Ward
Hines Ward ",WR,"$3,000,000","$610,000",-,-,-,-,-,-,"$3,610,000 ",2.79
pittsburgh-steelers,2011,"Keisel
Brett Keisel ",DE,"$1,000,000","$1,675,000",-,-,-,"$675,000",-,-,"$3,350,000 ",2.59
